Date,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec,Year,CCI Value
1987-02-28,7.25,5.59,5.7488720478336806,1.5011279521663194,0.07678707355808766,0.0,1987,100.57565
1987-03-31,7.25,5.59,5.7488720478336806,1.5011279521663194,0.1196185529466258,0.0,1987,100.64275
1987-04-30,8.02,5.64,5.801036781041717,2.2189632189582813,0.1142100230362737,0.0,1987,100.71780000000001
1987-05-31,8.61,5.66,5.821906420019309,2.7880935799806887,0.08010247417716893,0.0,1987,100.75965
1987-06-30,8.4,5.67,5.832342042321574,2.567657957678426,0.0775692838601626,0.0,1987,100.82515000000001
1987-07-31,8.45,5.69,5.8532148927589365,2.5967851072410633,0.08745585473224632,0.0,1987,100.90559999999999
1987-08-31,8.76,6.04,6.2188367057485445,2.5411632942514557,0.07044468710569171,0.0,1987,100.9151
1987-09-30,9.42,6.4,6.595590892663535,2.824409107336465,0.03138680053081793,0.0,1987,100.79695000000001
1987-10-31,9.52,6.13,6.312959957022947,3.2070400429770523,0.030887919032423206,0.0,1987,100.56290000000001
1987-11-30,8.86,5.69,5.8532148927589365,3.006785107241063,0.05030603454897475,0.0,1987,100.37544
1987-12-31,8.99,5.77,5.936727711654399,3.0532722883456014,0.07571379492721021,0.0,1987,100.42855
1988-01-31,8.67,5.81,5.9784969760051005,2.6915030239948994,0.06923509396714303,0.0,1988,100.61255
1988-02-29,8.21,5.66,5.821906420019309,2.3880935799806906,0.06896895064606992,0.0,1988,100.78295
1988-03-31,8.37,5.7,5.863652120976401,2.5063478790235982,0.06896895064606992,0.0,1988,100.90129999999999
1988-04-30,8.72,5.91,6.082957651515602,2.6370423484844,0.026317485168186973,0.0,1988,100.93854999999999
1988-05-31,9.09,6.26,6.448992586579751,2.6410074134202493,0.01077625012880014,0.0,1988,101.00595
1988-06-30,8.92,6.46,6.658451028376143,2.2615489716238555,0.015439539249085097,0.0,1988,101.05885
1988-07-31,9.06,6.73,6.941561683947217,2.1184383160527838,0.014737860017886644,0.0,1988,101.115
1988-08-31,9.26,7.06,7.288120157680652,1.9718798423193482,0.016102521034142,0.0,1988,101.2036
1988-09-30,8.98,7.24,7.4774002890680435,1.5025997109319569,0.010139348788382073,0.0,1988,101.20885
1988-10-31,8.8,7.35,7.593157879095359,1.2068421209046418,0.005183279484988606,0.0,1988,101.1258
1988-11-30,8.96,7.76,8.025196464878857,0.9348035351211444,0.007413137764549273,0.0,1988,101.05930000000001
1988-12-31,9.11,8.07,8.352466693491651,0.7575333065083463,0.006831159365795018,0.0,1988,101.0594
1989-01-31,9.09,8.27,8.563886785504645,0.5261132144953553,0.012642470242488916,0.0,1989,101.1234
