Date,Spread,CCI Value,NBER_Rec
1979-12-31,-2.2004041787329687,98.28734,0.0
1980-01-31,-1.7472671020969397,98.28014499999999,0.0
1980-02-29,-1.0667012329118728,98.084305,1.0
1980-03-31,-3.276900233412679,97.67092,1.0
1980-04-30,-2.375305010517604,97.36064,1.0
1980-05-31,1.2879802448776552,97.33046,1.0
1980-06-30,2.48136888046174,97.60024,1.0
1980-07-31,1.908098582962774,97.99943499999999,1.0
1980-08-31,1.6245133735029866,98.44655,0.0
1980-09-30,0.8198416303464704,98.8167,0.0
1980-10-31,-0.3879131134564169,98.957735,0.0
1980-11-30,-1.7412022997032857,98.84354,0.0
1980-12-31,-3.5051372793788778,98.547655,0.0
1981-01-31,-3.2596177249677907,98.41338,0.0
1981-02-28,-2.3878059225875354,98.30636,0.0
1981-03-31,-0.8989925092513165,98.335595,0.0
