Date,CCI Value,Spread,Value of Copper,NBER_Rec
1983-03-31,99.57114,1.861484031708152,1635.8950434782607,0.0
1983-04-30,100.09655,1.8995621635559523,1681.97158,0.0
1983-05-31,100.42555,1.90070744589872,1759.4217142857146,0.0
1983-06-30,100.5277,1.73539780131369,1663.328745454546,0.0
1983-07-31,100.50945,1.9576244309672115,1700.7717,0.0
1983-08-31,100.4262,2.1512967829926897,1635.5213217391306,0.0
1983-09-30,100.35825,2.312573548222052,1587.5097142857142,0.0
1983-10-31,100.38165,2.584409912488754,1442.3605714285716,0.0
1983-11-30,100.5481,2.607210088731476,1385.9486666666664,0.0
1983-12-31,100.81075,2.4925735482220506,1424.046380952381,0.0
1984-01-31,101.05585,2.438710518015011,1391.2487619047615,0.0
1984-02-29,101.13475,2.407003318756733,1423.0677,0.0
1984-03-31,101.1271,2.4297750079126352,1514.9995454545453,0.0
1984-04-30,101.0144,2.558729283183853,1517.7074599999999,0.0
1984-05-31,100.9374,3.1895129932742687,1418.5244545454545,0.0
1984-06-30,100.8946,3.2968598731177288,1353.8437333333334,0.0
1984-07-31,100.95715,2.830077322438332,1308.9660952380952,0.0
1984-08-31,101.06635,1.8159998835856663,1318.3944695652176,0.0
1984-09-30,101.1069,1.722948511723846,1290.2099999999998,0.0
1984-10-31,101.0109,2.0354501809267376,1260.4484347826087,0.0
1984-11-30,100.9092,2.64619754268526,1319.3144000000002,0.0
1984-12-31,100.8406,3.158098582962774,1273.3899999999999,0.0
1985-01-31,100.8399,3.3548035351211443,1316.0384545454544,0.0
1985-02-28,100.8014,2.9461132144953552,1341.8416000000004,0.0
1985-03-31,100.77335,3.0315308698333108,1339.192380952381,0.0
1985-04-30,100.76635,3.2042806481926362,1409.1746285714285,0.0
1985-05-31,100.76645,3.1199531021548528,1401.5436363636363,0.0
1985-06-30,100.814,2.987464724019617,1331.73394,0.0
1985-07-31,100.781,3.0008573775332548,1353.256,0.0
1985-08-31,100.69845,2.95777699513384,1333.0393090909092,0.0
1985-09-30,100.61775,3.0398327482965097,1331.4364,0.0
1985-10-31,100.57615,2.8467458705391233,1358.1910434782608,0.0
1985-11-30,100.6628,2.3025997109319563,1341.93846,0.0
1985-12-31,100.8214,1.9298327482965103,1395.7827047619048,0.0
1986-01-31,100.95715,1.89136888046174,1452.6864545454546,0.0
1986-02-28,101.02195,1.4118798423193477,1413.3092,0.0
1986-03-31,101.0401,1.0167389919057808,1468.3048000000001,0.0
1986-04-30,101.0631,1.0602507747850842,1410.8405090909089,0.0
1986-05-31,101.0972,1.3761178571882051,1390.6190476190477,0.0
1986-06-30,101.15735,1.403338404606307,1383.6816952380952,0.0
1986-07-31,101.11175,1.300615176939492,1308.7561904761906,0.0
1986-08-31,100.98595,1.4837079796274413,1275.0874666666668,0.0
1986-09-30,100.8636,2.097143252428018,1351.6292380952384,0.0
1986-10-31,100.79885,2.1083747862990467,1315.069304347826,0.0
1986-11-30,100.67425,1.7513326049646416,1302.3552,0.0
1986-12-31,100.5669,1.4237079796274417,1326.5876,0.0
1987-01-31,100.54405,1.4979652547592837,1350.6321904761903,0.0
1987-02-28,100.57565,1.5011279521663194,1363.0812,0.0
1987-03-31,100.64275,1.5011279521663194,1403.5973636363635,0.0
1987-04-30,100.7178,2.2189632189582813,1375.8102666666664,0.0
1987-05-31,100.75965,2.7880935799806887,1450.0116000000003,0.0
1987-06-30,100.82515,2.567657957678426,1539.433890909091,0.0
1987-07-31,100.9056,2.5967851072410637,1645.1357272727275,0.0
1987-08-31,100.9151,2.541163294251456,1699.5988571428568,0.0
1987-09-30,100.79695,2.824409107336465,1750.9730476190477,0.0
1987-10-31,100.5629,3.2070400429770523,1816.2462727272725,0.0
1987-11-30,100.37544,3.006785107241063,2232.05692,0.0
1987-12-31,100.42855,3.0532722883456014,2691.845381818182,0.0
1988-01-31,100.61255,2.6915030239948994,2421.3695000000007,0.0
1988-02-29,100.78295,2.3880935799806906,2109.76798,0.0
1988-03-31,100.9013,2.5063478790235982,2142.287999999999,0.0
1988-04-30,100.93855,2.6370423484844,2123.9066399999997,0.0
1988-05-31,101.00595,2.6410074134202493,2049.5100952380953,0.0
1988-06-30,101.05885,2.2615489716238555,2299.8740000000003,0.0
1988-07-31,101.115,2.118438316052784,2096.0591,0.0
1988-08-31,101.2036,1.971879842319348,2117.3732173913045,0.0
1988-09-30,101.20885,1.5025997109319569,2282.714285714286,0.0
1988-10-31,101.1258,1.2068421209046418,2763.0288571428573,0.0
1988-11-30,101.0593,0.9348035351211444,3097.1159000000002,0.0
1988-12-31,101.0594,0.7575333065083463,3238.5156190476196,0.0
1989-01-31,101.1234,0.5261132144953553,3147.626857142857,0.0
1989-02-28,101.073,0.3309404671901959,2899.2227999999996,0.0
1989-03-31,100.9359,0.21358057900900285,3027.444454545455,0.0
