,Date,Value of Copper in Dollars per Tonne
550,1961-09-11,685.2236
551,1961-09-12,688.9703999999999
552,1961-09-13,690.2927999999999
553,1961-09-14,688.0888
554,1961-09-15,686.3256
555,1961-09-18,681.036
556,1961-09-19,679.4932
557,1961-09-20,676.628
558,1961-09-21,675.0852
559,1961-09-22,673.5423999999999
560,1961-09-25,668.2528000000001
561,1961-09-26,664.2856
562,1961-09-27,665.3876
563,1961-09-28,659.8776
564,1961-09-29,656.5716
565,1961-10-02,654.588
566,1961-10-03,657.0124
567,1961-10-04,665.3876
568,1961-10-05,666.9304
569,1961-10-06,662.5224
570,1961-10-09,654.1472
571,1961-10-10,657.2328
572,1961-10-11,657.894
573,1961-10-12,665.3876
574,1961-10-13,671.1179999999999
575,1961-10-16,667.812
576,1961-10-17,661.8612
577,1961-10-18,660.3184
578,1961-10-19,662.5224
579,1961-10-20,661.4204
580,1961-10-23,656.1308
581,1961-10-24,657.894
582,1961-10-25,661.6408
583,1961-10-26,663.6243999999999
584,1961-10-27,661.1999999999999
585,1961-10-30,657.894
586,1961-10-31,656.7919999999999
587,1961-11-01,657.2328
588,1961-11-02,657.4532
589,1961-11-03,660.098
590,1961-11-06,660.7592000000001
591,1961-11-08,666.2692000000001
592,1961-11-09,662.5224
593,1961-11-10,652.8248000000001
594,1961-11-13,650.18
595,1961-11-14,649.078
596,1961-11-15,650.8412000000001
597,1961-11-16,650.6208
598,1961-11-17,652.6043999999999
599,1961-11-20,653.486
600,1961-11-21,650.4004
601,1961-11-22,652.6043999999999
602,1961-11-24,656.3512000000001
603,1961-11-27,657.0124
604,1961-11-28,652.6043999999999
605,1961-11-29,648.1963999999999
606,1961-11-30,652.1636
607,1961-12-01,652.6043999999999
608,1961-12-04,652.8248000000001
609,1961-12-05,658.3348000000001
610,1961-12-06,661.1999999999999
611,1961-12-07,661.1999999999999
612,1961-12-08,658.1143999999999
613,1961-12-11,666.71
614,1961-12-12,663.1836
615,1961-12-13,666.71
616,1961-12-14,662.7428000000001
617,1961-12-15,660.7592000000001
618,1961-12-18,655.6899999999999
619,1961-12-19,658.996
620,1961-12-20,662.9632
621,1961-12-21,663.404
622,1961-12-22,658.996
623,1961-12-26,661.8612
624,1961-12-27,661.6408
625,1961-12-28,661.4204
626,1961-12-29,664.506
627,1962-01-02,665.3876
628,1962-01-03,668.2528000000001
629,1962-01-04,670.8976
630,1962-01-05,674.2036
631,1962-01-08,669.5752
632,1962-01-09,669.7956
633,1962-01-10,667.812
634,1962-01-11,667.1508
635,1962-01-15,660.098
636,1962-01-16,658.5552
637,1962-01-17,661.1999999999999
638,1962-01-18,665.608
639,1962-01-19,666.71
640,1962-01-22,667.812
641,1962-01-23,661.8612
642,1962-01-24,668.914
643,1962-01-25,668.6936000000001
644,1962-01-26,666.9304
645,1962-01-29,665.8284
646,1962-01-30,667.812
647,1962-01-31,672.22
648,1962-02-01,668.914
649,1962-02-02,668.0323999999999
650,1962-02-05,666.71
651,1962-02-06,668.0323999999999
652,1962-02-07,668.0323999999999
653,1962-02-08,668.6936000000001
654,1962-02-09,668.2528000000001
655,1962-02-12,667.812
656,1962-02-13,669.5752
657,1962-02-14,667.812
658,1962-02-15,666.2692000000001
659,1962-02-16,668.0323999999999
660,1962-02-19,668.0323999999999
661,1962-02-20,670.016
662,1962-02-21,670.016
663,1962-02-23,669.7956
664,1962-02-26,671.7792000000001
665,1962-02-27,671.7792000000001
666,1962-02-28,671.3384
667,1962-03-01,671.9996
668,1962-03-02,674.424
669,1962-03-05,675.9667999999999
670,1962-03-06,673.5423999999999
671,1962-03-07,673.5423999999999
672,1962-03-08,673.1016
673,1962-03-09,674.2036
674,1962-03-12,674.424
675,1962-03-13,675.0852
676,1962-03-14,674.6444
677,1962-03-15,676.8484
678,1962-03-16,677.73
679,1962-03-19,677.2892
680,1962-03-20,675.9667999999999
681,1962-03-21,676.1872000000001
682,1962-03-22,675.0852
683,1962-03-23,670.016
684,1962-03-26,667.3712
685,1962-03-27,668.914
686,1962-03-28,668.2528000000001
687,1962-03-29,668.2528000000001
688,1962-03-30,668.6936000000001
689,1962-04-02,668.0323999999999
690,1962-04-03,668.0323999999999
691,1962-04-04,662.5224
692,1962-04-05,663.404
